SampleID	Expr1	Expr2	Expr3	Expr4	Expr5	Expr6	Expr7	Expr8	Expr9	Expr10	Expr11	Expr12	Expr13	Expr14	Expr15	Expr16	Expr17	Expr18	Expr19
CLL2	1,2674232148	1,0925149408	1,25748353	1,0645128093	1,5261110744	1,0645128093	1,0149088901	0,8778501629	1,3102785783	1,1086956522	18,1575757576	23,6548672566	0,8919230137	0,9650319211	1,1353016688	1,8116504854	1,7504087193	0,6186588921	0,2736842105
CLL3	0,9509987352	1,257244738	0,6854668205	1,410257412	4,7052480135	1,410257412											1,2108323133	0,6198019802	0,2988505747
CLL4	1,0273434321	0,7778235009	3,1769926086	3,0750049069	5,04532406	3,0750049069												0,604109589	
CLL5	0,9583904013	1,9026064783	1,4822368258	3,5587196004	2,1297029803	3,5587196004											1,2234726688	0,5630743525	0,0723684211
CLL6	3,0378520937	3,3476582064	0,9970429457	3,2650684594	5,9050566552	3,2650684594	1,0865143144	1,1755280408	1,1923471131	2,2725225225	0,9355413105	1,0832407064	0,7932432432	1,0997760637	2,4395973154	0,9472071319	1,1788617886	0,788822721	0,1640091116
CLL7	1,3340352772	1,7549705842	1,6454981511	2,108326482	2,0616302973	2,108326482	1,0013431833	0,8241959064	1,3245869776	0,9836674091	1,3829087921	1,062859262	0,8949416342	1,0323246217	0,3974820144	1,1668685645		1,3363636364	
CLL9	1,5192841793	1,6654379331	1,6583874436	2,0334941838	1,5649854558	2,0334941838											3,8056379822	1,4287179487	0,1375
CLL10	1,4980229184	1,2048545969	3,6944923481	1,6751814283	3,9770304162	1,6751814283											8,1062992126		0,5272727273
CLL11	1,2691101383	1,0763022517	0,7048123207	0,816557818	1,6536770163	0,816557818											6,2014051522	0,7914634146	0,1083743842
CLL17	1,5232835927	1,4744909113	1,6567893216	1,3993262327	2,1590784819	1,3993262327	1,0979400518	1,2859308672	1,0829875519	1,5063545151	0,8338414634	0,9852010845	1,074019245	1,0217191239	1,7700258398	1,0883280757	4,5343137255	0,8214417745	0,3953488372
CLL18	0,1716767316	0,3556370486	0,2089161365	0,3052660899	0,043581843	0,3052660899	1,1163988716	3,1074606434	1,6285714286	3,7359735974	1,6897106109	3,677396781	1,8835341365	1,1848639456	0,4407474932	2,5236406619	0,7115613826	1,1419354839	0,09765625
CLL19	1,1309446682	1,2287730113	0,9693909675	1,1700339024	0,725260805	1,1700339024	1,0129290442	1,1520217729	1,2787623911	1,2209602478	1,2173160173	1,6360189573	0,318018018	0,958609918	0,4373488147	1,7100371747	3,6296296296	0,7277944112	0,5215827338
CLL24	1,3549927866	1,4468607317	1,1132492343	1,4317992811	1,703351898	1,4317992811											1,9242256637	0,9196141479	0,2553418803
CLL29	1,1175256442	1,6533328987	1,732462003	1,028982986	0,8982990581	1,028982986	0,9576726686	1,6487754039	1,2081056466	2,154295246	1,3568677792	1,1859767529	0,3258426966	0,2524	0,4131501472	3,1070184171	1,7633302152	1,7676399027	0,3099415205
CLL31	0,7790817705	0,7189025843	5,8991200123	4,4212480104	2,0278225042	4,4212480104	1,0144572954	1,1011904762	1,1180679785	1,1553719008	1,2073434125	0,9659608684	1,1599045346	0,6082881105	1,2462620932	1,1594071385	1,8181818182	0,5599404319	0,1897810219
CLL32	0,3070712172	0,5962441843	0,6103368924	0,5157584042	0,1697285178	0,5157584042	1,0472412109	1,3172804533	1,0692554043	0,7818563188	1,5944363104	1,107012987	1,3740017746	1,1424093148	0,9534753363	0,7713280563	2,0247123988	1,4611973392	4,3448275862
CLL50	1,0843024189	2,1151053437	0,9324676885	3,2626515926	1,2978797975	3,2626515926	1,0126655822	1,2974702835	1,7774968394	2,0486634681	1,2285115304	1,0572258533	2,7806603774	0,7570003836	1,371641791	1,4146341463	2,0855365474	0,7624309392	0,1859582543
